id,title,tempo,zero_crossing_rating,pitch,loudness,length
1,Last Dance (Prod. GroovyRoom),156.6051136,33051,561.559482,4077486,561.559482
2,LATATA,97.50884434,47654,714.410836,4471224,714.410836
3,MORE,143.5546875,32432,686.2121667,4786872,686.2121667
4,Oh my god,151.9990809,29281,741.1774547,4318008,741.1774547
5,Senorita,120.1853198,25385,702.4327395,4357176,702.4327395
6,TOMBOY,126.0480183,16007,642.6848762,3845226,642.6848762
7,Uh-Oh,92.28515625,35092,748.2199714,4567992,748.2199714
8,덤디덤디 (DUMDi DUMDi),61.5234375,22262,947.7088667,4641720,947.7088667
9,한,166.7086694,35404,841.0561202,4539480,841.0561202
10,사랑해,139.6748311,34592,589.8558841,4709688,589.8558841
11,화,120.1853198,19457,793.1973627,4350906,793.1973627
12,MAZE,198.7680288,22858,812.0794715,4417656,812.0794715
13,MOON,95.703125,24174,487.7224041,4418820,487.7224041
14,싫다고 말해,95.703125,31138,464.573658,5218296,464.573658
15,DON`T TEXT ME,114.84375,24805,597.0199818,4766712,597.0199818
16,MY BAG,93.96306818,63629,607.9919407,3539466,607.9919407
17,LION,206.71875,8813,631.6434774,4651512,631.6434774
18,POP/STARS,114.84375,41660,748.5208889,4214616,748.5208889
19,너가없는노래 (Feat. 에릭남),86.1328125,30326,365.2414605,4111224,365.2414605
20,I Don't Care,132.5120192,20551,750.7332333,5276184,750.7332333
21,In The Club,161.4990234,23430,765.4747852,5015832,765.4747852
22,Let's Go Party,120.1853198,31074,582.1990841,5099928,582.1990841
23,Pretty Boy,120.1853198,40642,841.4464417,4590168,841.4464417
24,Stay Together,123.046875,10378,713.6759972,4999704,713.6759972
25,Hate You,126.0480183,19765,905.5309131,4658112,905.5309131
26,UGLY,135.9991776,23497,849.6055104,5486400,849.6055104
27,Don`t Stop The Music,156.6051136,17108,855.9877779,5065920,855.9877779
28,Crush,129.1992188,32511,762.6330479,4283136,762.6330479
29,Come Back Home,99.38401442,13814,756.7307069,5063616,756.7307069
30,너 아님 안돼,172.265625,34840,880.6990294,5105088,880.6990294
31,살아 봤으면 해,90.66611842,39735,782.3817613,4636224,782.3817613
32,착한 여자,156.6051136,12706,495.8963486,4866624,495.8963486
33,멘붕 (CL Solo),132.5120192,27518,662.3034441,4320000,662.3034441
34,Happy,120.1853198,31748,785.1985531,4779648,785.1985531
35,Scream,129.1992188,19769,801.3553429,4849920,801.3553429
36,Baby I Miss You,101.3327206,18516,574.2219186,4235904,574.2219186
37,Come Back Home (Unplugged Ver.),74.89809783,18471,568.5598037,4271616,568.5598037
38,DO YOU LOVE ME,129.1992188,37614,875.9569147,4742784,875.9569147
39,Falling In Love,87.59269068,26376,901.2606037,4996224,901.2606037
40,Fire,126.0480183,44177,846.7792009,4940376,846.7792009
41,I Don`t Care (Reggae Mix Ver.),74.89809783,34080,841.9984154,5071704,841.9984154
42,I Love You,126.0480183,16096,703.8556249,5230080,703.8556249
43,Lonely,126.0480183,25907,714.0642356,4588416,714.0642356
44,Can`t Nobody,129.1992188,73259,1033.180821,4603392,1033.180821
45,Go Away,129.1992188,46342,953.8269838,4837848,953.8269838
46,박수쳐,198.7680288,27565,903.6999908,4903512,903.6999908
47,난 바빠,129.1992188,25286,964.3711044,4810776,964.3711044
