id,title,relaxed,excited,loneliness,depression,annoyance,regret,unfairness,fear,stress,worry
1,Last Dance (Prod. GroovyRoom),9.9,6.21,2.83,21.96,1.16,21.01,3.74,8.06,3.55,21.57
2,LATATA,21.89,18.1,2.72,2.27,2.27,9.91,12.74,12.09,2.06,15.93
3,MORE,8.39,9.37,2.65,1.75,22.04,5.12,1.63,16.31,16.11,16.63
4,Oh my god,10.63,24.18,5.03,15.85,4.48,5.86,24.43,2.48,4.65,2.4
5,Senorita,21.21,20.91,15.31,2,15.67,10.09,5.62,3.29,3.3,2.59
6,TOMBOY,1.7,11.45,10.39,3.83,8,12.31,5.76,18.53,25.27,2.76
7,Uh-Oh,6.86,4.6,20.02,2.36,23.12,4.42,18.64,5.1,11.96,2.93
8,덤디덤디 (DUMDi DUMDi),22.07,16.58,3.11,9.68,10.27,4.47,1.62,8.3,1.98,21.93
9,한,8.79,0.18,15.32,2.68,15.07,20.21,13.26,1.42,12.21,14.86
10,사랑해,7.92,12.98,3.69,2.28,18.35,17.21,6.27,22.14,3.87,5.29
11,화,4.26,4.92,5.14,25.3,5.31,24,12.75,3.87,5.79,3.65
12,MAZE,10.23,10.93,22.85,4.54,17.95,11.76,3.47,10.82,5.89,1.56
13,MOON,12.78,13.53,17.32,23.92,1.43,8.79,3,7.08,4.16,7.98
14,싫다고 말해,11.68,12.92,3.41,18.92,1.36,22.88,5.85,7.18,5.78,10.03
15,DON`T TEXT ME,13.22,4.06,12.58,17.94,9.25,21.84,2.83,9.05,6.33,2.88
16,MY BAG,13.32,24.86,2.66,15,19.26,9.23,3.37,2.47,4.28,5.54
17,LION,1.12,10.72,14.56,10.71,3.57,13.22,4.91,25.38,10.22,5.59
18,POP/STARS,15.25,25.36,4.45,12.18,3.42,11.58,2.48,11.66,2.45,11.16
19,너가없는노래 (Feat. 에릭남),6.07,3.76,4.69,8.14,19.42,23.41,3.28,4.43,17.31,9.51
20,I Don't Care,16.82,13.59,1.57,20.7,2.67,2.87,4.71,19.83,12,5.24
21,In The Club,2.81,6.65,6.92,25,4.77,24.76,2.39,4.49,17.93,4.27
22,Let's Go Party,3.16,2.73,23.73,10.59,14.33,10.83,3.15,9.43,11.63,10.42
23,Pretty Boy,3.05,15.24,4.32,8.43,19.88,20.2,2.08,15.16,5.16,6.48
24,Stay Together,4.49,14.01,10.74,28.01,7.47,10.32,5.59,4.39,4.8,10.18
25,Hate You,2.61,1.32,1.6,1.71,19.79,10.91,18.39,3.45,22.83,17.41
26,UGLY,1.64,14.22,2.78,2.08,18.89,15,20.76,5.22,18.07,1.34
27,Don`t Stop The Music,14.96,18.76,12.69,18.21,4.29,1.4,6.08,9.23,0.25,14.13
28,Crush,9.89,27.57,5.33,12.35,6.42,11.94,3.71,5.68,5.41,11.7
29,Come Back Home,3.29,13.79,11.58,26.28,7.08,18.95,5.48,4.47,4.11,4.96
30,너 아님 안돼,1.75,19.03,21.77,22.68,1.86,5.88,9.75,10.22,4.06,3
31,살아 봤으면 해,1.85,18.74,1.01,16.39,6.07,10.33,3.19,17.81,19.43,5.18
32,착한 여자,16.23,5.91,8.62,17.75,4.19,8.31,3.77,5.64,26.08,3.49
33,멘붕 (CL Solo),19.62,23.8,1.32,2.48,4.29,2.97,3.46,12.41,5.79,23.87
34,Happy,5.29,12.1,5.58,22.84,6.12,24.93,3.98,2.79,11.22,5.14
35,Scream,10.26,24.77,4.11,5.97,26.03,5.01,5.38,10.02,4.75,3.69
36,Baby I Miss You,8.24,17.96,6.77,5.5,6.66,23.3,4.77,11.81,4.28,10.71
37,Come Back Home (Unplugged Ver.),3.34,6.47,22.68,26.45,5.54,14,10.38,3.69,3.18,4.28
38,DO YOU LOVE ME,4.89,23.53,2.31,14.33,11.17,11.75,2.93,2.95,2.68,23.47
39,Falling In Love,21.85,8.89,0.73,6.23,3.57,1.71,8.25,9.46,21.15,18.15
40,Fire,19.89,21.72,1.97,19.85,7.06,2.27,3.8,9.91,4.96,8.57
41,I Don`t Care (Reggae Mix Ver.),1.94,3.59,9.4,5.21,26.4,14.94,5.46,3.94,26.44,2.69
42,I Love You,22.32,12.54,6.44,4.51,8.5,12.35,4.96,9.57,6.45,12.36
43,Lonely,4.69,1.29,21.04,20.21,18.87,12.56,10.96,7.48,1.9,1
44,Can`t Nobody,19.61,23.97,2.25,2.63,9.94,17.18,1.77,7.9,9.41,5.33
45,Go Away,1.34,19.45,17.1,5.89,15.9,20.67,4.77,5.11,3.7,6.07
46,박수쳐,6.18,21.85,13.97,2.36,6.83,2.78,18.47,15.47,0.81,11.27
47,난 바빠,5.13,18.68,5.23,2.45,25.66,4.79,9.35,9.85,11.78,7.09
48,아파 (Slow),15.62,8.69,1.81,17.34,0.52,17.97,0.53,9.33,10.86,17.33
49,사랑은 아야야,4.68,19.11,9.25,7.29,17.48,20.53,1.68,1.91,17.22,0.86
50,그리워해요,24,3.36,24.27,23.52,4.19,2.54,3.3,5.74,5.01,4.06
51,내가 제일 잘 나가,12.85,23.89,5.28,3.3,17.1,3.49,4.54,1.15,5.74,22.65
52,안녕,2.26,4.83,23,2.96,12.82,6.67,24.96,5.56,4.49,12.45
53,오늘 뭐해,10.36,20.65,11.6,5.05,17.93,14.25,0.87,0.96,15.61,2.7
54,거울아 거울아,1.66,24.53,8.77,12.37,24.04,9.64,5.56,5.02,5.56,2.84
55,Muzik,15.22,25.07,5.75,3.4,16.39,8.67,6.92,3.86,1.47,13.24
56,HUH,21.19,21.9,3.68,2.26,11.14,10.34,1.96,21.88,3.64,2.02
57,Hot Issue,7.3,25.27,6.16,4.83,18.23,4.82,3.78,13.39,6.06,10.17
58,이름이 뭐예요?,20.14,18.95,11.3,0.87,6.74,16.98,2.12,12.81,2.46,7.64
59,Volume Up,4.5,12.3,4.23,2.6,21.82,23.35,4.7,5.54,13.46,7.5
60,6월부터 1월까지,4.05,13.13,11.49,22.87,3.58,23.8,3.37,3.33,12.1,2.28
61,I Dream,25.41,14.08,3.86,12.36,3.24,16.03,2.04,5.84,4.83,12.3
62,Somebody,1.36,17.12,21.44,13.5,10.55,19.31,4.3,1.83,9.12,1.47
63,Star,27.24,23.76,7.21,5.76,4.28,13.85,3.49,6.49,3.47,4.45
64,Sugar,21.95,19.07,4.69,7.76,2.16,13.6,14.3,3.94,9.88,2.65
65,Shy Ma Boy,2.15,18.43,2.86,9.15,2.03,19.06,12.37,16.23,4.76,12.96
66,Oh My God,3.78,3.18,9.74,23.82,1.68,14.32,2.3,5.95,24.66,10.58
67,Rain & Cry,1.62,9.61,21.14,23.03,6.24,19.84,1.38,1.37,13.57,2.22
68,Not Today Not Tomorrow,2.54,8.01,9.85,3.22,22.36,21.51,8.04,20.27,3.64,0.56
69,Silly Boy,18.88,3.68,24.12,4.51,3.42,1.42,20.31,5.8,14,3.86
70,사랑은 미친짓 (Feat. 칸토 of 트로이),1.29,7.03,10.81,15.74,15.47,19.26,14.32,1.41,13.54,1.12
71,티가 나나봐,21.85,15.98,1.19,10.35,6.94,15.52,2.92,12.2,7.5,5.55
72,Best Lover,7.72,17.02,3.35,1.52,3.46,20.1,3.53,14.63,7.67,21.01
73,The Weekend,2.73,19.53,23.2,2.82,10.31,12.14,1.64,3.72,6.31,17.59
74,BREATHE,24.36,22.07,1.59,4.66,4.38,14.58,2.41,10.68,6.74,8.53
75,Make You Feel My Love,18.02,9.59,14.87,3,4.39,5.19,18.19,1.4,6.71,18.64
76,Black Mamba,14.77,3.15,8.86,8.22,27.16,14,9.43,4.46,3.64,6.32
77,Dreams Come True,18.32,11.39,2.14,15.14,2.39,14.51,6.49,10.74,2.97,15.91
78,Girls,4.72,21.02,2.29,5.73,21.41,20.44,1.18,6.42,15.48,1.31
79,Next Level,12.45,24.54,3.15,3.21,15.63,5.53,2.31,3.14,10.79,19.25
80,Savage,12.25,20.89,2.31,6.44,2.88,17.73,1.31,22.36,9.02,4.83
81,I'll Make You Cry,5.23,17.48,4.8,10.35,4.09,2.61,2.63,18.11,22.58,12.12
82,YEPPI YEPPI,1.88,22.64,2.45,3.65,23.71,3.23,12.66,4.29,23.52,1.96
83,ICONIC,9.18,25.54,6.08,5.64,25.54,3.64,6.85,4.9,5.64,6.95
84,자각몽 (Lucid Dream),8.56,5.49,0.83,2.1,14.05,18.44,1.22,18.49,13.88,16.94
85,HAPPENING,16.5,10.47,4.98,10.32,1.74,21.39,1.62,13.89,2.81,16.28
86,뱃노래,2.33,10.27,19.71,11.03,18.51,14.05,0.46,1.43,13.78,8.43
87,물 만난 물고기,3.75,16.6,22.95,15.96,8.19,9.71,1.66,2.62,16.1,2.45
88,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",0.82,11.96,23.69,23.93,16.48,6.73,6.85,2.83,5.5,1.21
89,달,6.73,13.2,5.25,26.38,4.74,23.51,7.43,3.34,5.48,3.94
90,FREEDOM,2.27,9.65,13.25,4.52,20.82,21.76,1.49,1.89,9.7,14.63
91,더 사랑해줄걸,15.43,7.44,10.63,8.2,6.03,24.24,3.15,6.66,10.7,7.53
92,고래,2.4,18.55,3.33,12.05,22.2,7.08,0.83,0.56,21.83,11.18
93,밤 끝없는 밤,20.8,3.14,4.63,4.63,14.81,7.19,15.3,8.46,20.3,0.75
94,작별 인사,21.95,5.74,22.03,1.55,14.15,17.48,2.45,3.79,10.41,0.45
95,시간을 갖자,3.33,13.72,5.87,23.3,13.27,22.66,2.15,2.15,1.19,12.36
96,전쟁터 (With 이선희),10.83,21.11,2.02,21.48,5.72,16.95,3.4,6.42,0.61,11.46
97,낙하 (With 아이유),23.94,20.87,6.98,17.87,3.33,9.62,2.83,2.86,9.42,2.27
98,BENCH (With Zion.T),19.86,20.19,9.41,9.01,15,6.95,0.32,3.58,14.64,1.05
99,째깍 째깍 째깍 (With Beenzino),2.39,14.85,3.5,6.08,23.11,13.73,8.88,4.3,22.69,0.47
100,맞짱 (With 잔나비 최정훈),0.89,5.58,8.43,25.03,10.85,24.87,5.07,2.26,12.88,4.14
101,Stupid love song (With Crush),0.64,10.93,18.63,18.18,2.35,18.07,1.15,14.64,5.53,9.88
102,EVEREST (with Sam Kim),5.15,26.86,5.5,6.52,20.44,8.78,9.84,5.11,4.46,7.34
103,2002,8.93,21.27,4.91,2.86,11.03,6.14,0.51,9.97,14.13,20.25
104,빙글뱅글 (Bingle Bangle),3.97,4.67,4.06,3.9,22.6,2.37,16.06,20.82,12.29,9.26
105,심쿵해 (Heart Attack),2.14,17.39,7.1,1.31,20.73,20.67,7.1,17.15,2.05,4.36
106,GET OUT,1.99,20.19,0.94,3.21,19.43,2.79,2.35,11.72,20.27,17.11
107,단발머리 (Short Hair),27.15,22.12,2.64,2.57,8.36,1.97,3.03,12.29,2.07,16.8
108,짧은 치마 (Miniskirt),2.53,21.83,23.22,5.12,7.37,7.72,4.13,3.16,23.16,1.76
109,너나 해 (Egotistic),9.49,16.92,6.01,4.44,16.46,22.42,1.56,8.29,8.77,5.65
110,BUBIBU (Remix Ver.),19.43,14.72,2.78,1.89,22.1,2.73,4.4,6.71,6.99,18.24
111,Good Morning Baby,21.25,19.33,4.98,6.16,1,17.57,9.13,4.31,5.8,10.49
112,Mr. Chu (On Stage),16.14,18.69,1.24,16.55,1.07,18.68,3.84,6.44,9.96,7.4
113,LUV,5.29,5.65,25.47,21.15,6.59,14.76,12.68,2.29,2.63,3.48
114,Remember,23.93,14.49,10.63,22.85,3.88,10.66,2.96,1.44,2.13,7.03
115,NoNoNo,23.41,14.27,7.31,13.36,3.22,16.69,3.09,5.66,5.55,7.43
116,몰라요,0.67,1.04,17.08,14.2,15.28,20.11,3.92,3.51,20.85,3.34
117,My My,23.75,23.13,1.17,4.59,3.17,16.08,2.77,1.98,5.88,17.47
118,NoNoNo (Ballad Ver.),7.11,20.47,22.68,18.15,2.45,16.67,4.46,2.56,3.68,1.78
119,LUV (Ballad Ver.),6.79,18.51,12.08,21.42,2.02,17.95,11.5,2.29,6.55,0.89
120,Dilemma,2.77,20.87,9.89,2.46,21.68,10.35,10.63,11.21,8.93,1.23
121,1도 없어,4.6,13.23,0.98,17.39,5.17,13.67,21.61,3.49,11.62,8.24
122,FIVE,21.11,15.6,3.73,1.7,19.16,14.1,3.39,1.5,8.24,11.49
123,Side To Side (Feat. Nicki Minaj),8.55,17.51,10.14,11.64,8.45,9.23,11.79,6.07,10.37,6.25
124,Problem (Feat. Iggy Azalea),20.9,18.44,3.41,5.87,3.16,14.64,2.55,6.64,2.45,21.95
125,Santa Tell Me,10.64,11.03,20.62,3.88,1.39,16.29,1.08,8.68,5.28,21.11
126,"thank u, next",16.03,13.6,4.86,23.27,2.41,8.06,1.58,9.73,6.65,13.81
127,Paranoid,2.34,5.83,14.11,15.25,13.15,5.78,22.39,10.47,9.3,1.38
128,발할라 (Valhalla) (Feat. Hash Swan & Yami Tommy),6.13,23.65,1.72,6.34,20.44,2.46,2.94,7.67,24.07,4.59
129,Error (Feat. Loopy),4.33,22.15,6.01,2.39,10.88,13.94,1.81,17.9,5.17,15.41
130,악몽,3.89,7.83,7.24,28.16,13.97,6.88,10.77,6.9,8.01,6.36
131,Paranoid Remix (Feat. CHANGMO & Paul Blanco),4.72,16.46,2.31,16.57,4.35,20.69,22.9,3.65,6.78,1.57
132,걸어본다,6.13,6.99,15.89,14.1,3.57,23.16,14.45,6.62,4.58,4.51
133,잘자요 굿나잇,17.39,2.26,6.1,0.71,15.72,21.28,4.76,3.45,16.3,12.02
134,Lonely (없구나),3.25,11.98,23.99,14.71,19.08,8.35,1.89,2.29,11.72,2.73
135,Break,2.7,9.18,5.91,4.83,20.48,9.18,10.18,7.89,19.96,9.69
136,Counting Stars (Feat. Beenzino),24.32,16.24,2.35,4.33,8.04,3.57,22.65,1.29,3.24,13.97
137,리무진 (Feat. MINO) (Prod. by 그레이 (GRAY)),3.87,6.53,9.46,18.5,19.95,18.65,5.22,7.08,2.23,8.51
138,The Time Goes On,2.84,22.9,2.33,23.61,12.95,21.62,2.35,2.98,4.99,3.42
139,Joker (Feat. JAMIE),6.14,5.29,7.62,23.37,3.8,24.55,2.85,5.2,8.25,12.93
140,This Love,2.96,3.76,5.96,26.86,5.71,7.36,5.92,5.62,26.16,9.67
141,IF YOU,1.5,5.7,24.27,22.6,4.28,19.02,8.69,3.36,7.45,3.13
142,마지막 인사,8.14,14.44,18.93,2.6,14.84,3.08,8.62,20.22,5.6,3.53
143,Last Dance (Prod. GroovyRoom),3.99,10.93,8.01,25.58,2,4.67,16.57,8.99,7.71,11.54
144,꽃 길,22.51,10.23,9.96,7.76,2.9,22.5,1.11,3.86,1.48,17.68
145,bad guy,12.59,12.29,0.83,8.97,2.87,2.49,23.85,9.07,16.9,10.14
146,How You Like That,1.89,7.42,17.85,22.2,1.9,11.94,6.22,14.87,0.79,14.92
147,Ice Cream (with Selena Gomez),22.13,21.81,18.9,3.7,4.38,3.88,7.18,7.88,3.34,6.8
148,Kill This Love,15.4,16.36,1.42,19.07,1.22,17.12,0.63,0.87,16.36,11.55
149,Don`t Know What To Do,12.35,8.14,8.89,4.44,11.93,22.49,9.79,11.04,8.99,1.94
150,Kick It,1.5,14.57,2.63,17.49,20.12,19.83,7.68,1.67,12.34,2.16
151,아니길 (Hope Not),5.06,6.27,14.49,10.21,12.85,24.05,4.64,3.08,10.24,9.1
152,휘파람,19.53,11.48,0.76,8.35,6,19.11,5.89,10.08,0.46,18.33
153,붐바야,2.93,11.77,2.85,9.28,19.99,13.14,1.13,12.89,22.11,3.92
154,불장난,7.41,15.02,2.85,2.93,7.23,12.79,2.01,22.93,5.85,20.97
155,STAY,2.67,4.48,19.85,8.19,3.71,1.2,14.29,19.94,15.07,10.6
156,휘파람 (Acoustic Ver.),20.94,9.15,0.93,5.97,13.44,10.52,2.73,20.53,0.79,15
157,뚜두뚜두 (DDU-DU DDU-DU),1.61,22.88,4.01,6.2,22.89,17.14,1.32,9.6,9.92,4.45
158,Forever Young,5.6,24.93,5.17,23.7,3.78,19.03,5.88,3.84,1.92,6.14
159,Really,7.87,24.35,7.37,5.93,15.26,24.01,3.32,1.4,3.87,6.61
160,See U Later,0.87,12.15,4.11,14.62,20.8,20.95,6.01,1.91,17.53,1.05
161,Pretty Savage,23.06,23.39,2.71,1.05,2.91,5.04,5.77,6.39,11.29,18.4
162,Bet You Wanna (Feat. Cardi B),9.11,23.61,2.79,6.54,3.64,11.71,2.67,11.16,5.37,23.42
163,Lovesick Girls,6.44,7.63,13.71,20.47,2.85,8.9,3.06,20.05,8.98,7.91
164,Crazy Over You,7.75,5.7,22.9,14.9,1.12,22.37,6.52,3.62,2.69,12.43
165,Love To Hate Me,9.29,12.43,10.51,23.04,1.98,16.56,9.8,2.36,3.84,10.2
166,You Never Know,17.3,18.05,2.33,17.8,0.5,19.33,0.74,4.19,2.1,17.66
167,마지막처럼,2.54,12.37,24.22,10.74,5.82,2.14,4.76,24.12,9.37,3.92
168,물들어,0.91,4.68,20.18,21.98,3.67,13.01,1.36,5.76,20.4,8.05
169,꽃피는 봄이오면,0.76,7.15,10.89,24,5.02,12.39,3.81,8.8,21.32,5.86
170,L4L (Lookin` For Luv) (Feat. Dok2 & The Quiett),15.6,23.24,1.48,22.75,15.29,9.32,1.31,3.92,4.12,2.97
171,"Feels (Feat. Pharrell Williams, Katy Perry & Big Sean)",20.49,13.56,1.2,15.8,1.82,9.46,5.49,4.77,10.66,16.75
172,Havana (Feat. Young Thug),18.94,8.3,8.71,2.75,1.16,4.95,15.34,15.69,2.66,21.51
173,"Don`t touch me, plz (Prod.공기남)",21.88,11.96,3.49,6.48,16.94,11.87,5.77,5.82,7.21,8.58
174,regretful (feat. SHIRT),4.03,9.64,6.93,25.25,6.41,25.61,2.59,2.61,12.32,4.6
175,겨울공원 (feat. SHIRT),23.36,23.34,1.35,10.71,3.63,4.32,1.57,21.56,6.16,4.01
176,겨울에 (Prod.공기남),26.32,22.41,9.61,3.73,11.71,10.74,2.34,3.84,5.93,3.37
177,수족냉증,3.85,10.96,19.26,22.94,6.98,13.03,4.93,4.3,3.66,10.09
178,예쁘게 말하는 게,9.76,24.04,5.67,23.13,1.95,10.24,9.73,3.56,8.08,3.83
179,CINEMA,17.44,3.98,11.5,6.92,3.18,11.98,14.68,8.71,16.6,5.01
180,I like it,15.35,16.92,20.46,9.83,3.51,6.06,0.61,2.48,5.88,18.91
181,I don't want no champagne,19.1,16.82,2.7,4.77,5.01,6.68,4.69,9.27,6.15,24.81
182,Dance with me,16.35,13.85,12.05,10.02,0.59,12.1,13.3,4.32,6.07,11.36
183,너 없인 안돼,3.39,10.46,17.11,18.11,8.27,14.09,8.04,8,6.15,6.37
184,서로에게 가까이,21.06,16.87,8.79,3.84,15.9,1.55,10.34,8.43,11.62,1.6
185,산책,23.49,12.57,4.12,2.97,20.05,20.66,4.88,4.84,4.7,1.73
186,Need You,16.72,21.5,1.3,3.11,11.28,8.89,6.74,12.55,3.99,13.92
187,Just Friends,22.51,22.17,7.44,17.26,12.04,2.09,0.91,5.95,5.93,3.69
188,Real Or Not,19.3,19.18,1.1,13.23,2.87,5.37,4.01,16.27,1.49,17.18
189,Hold Me Like You Mean It,20.58,20.44,8.08,7.58,11.36,16.21,4.11,1.99,8.41,1.24
190,Honey,23.03,23.48,10.26,3.46,1.26,11.47,3.24,8.48,2.06,13.24
191,In My Dream,21.31,13.04,6.79,4.66,4.83,12.65,1.89,12.79,9.39,12.67
192,Take Me Tonight,3.96,18.93,11.22,9.59,2.62,22.73,3.55,7.91,10.27,9.21
193,New,24.54,24.42,1.92,8.56,1.63,4.05,5.42,3.4,3.99,22.06
194,Butter,14.32,23.16,23.41,2.03,7.17,3.78,11.37,9.01,3.57,2.18
195,랑데뷰 (Rendezvous),3.33,1.14,18.26,21.28,5.19,6.96,2.03,10.35,20.52,10.92
196,어색해 (Awkward),1.75,6.22,15.28,11.2,15.92,18.63,3.02,5.04,20.25,2.7
197,Runaway,3.82,4.6,3.87,12.86,18.52,6.64,6.77,17,15.54,10.38
198,Secret,13.26,26.38,6.29,11.18,4.89,18.29,4.34,3.9,2.23,9.25
199,Stranger,1.75,17.5,21.17,19.69,7.79,17.36,3.81,0.82,5.82,4.29
200,Sugar,19.1,7.64,9.15,2.51,10.43,4.97,14.7,15.26,14.83,1.41
201,그래야만 했냐,12.79,23.9,3.64,9.48,7.5,10.43,7.09,3.61,16.47,5.08
202,Hello Bitches,7.52,25.82,7.33,2.59,25.59,14.78,2.83,4.4,3.61,5.53
203,SPICY,2.4,14.19,1.53,16.95,12.63,4.3,11.7,1.47,21.1,13.74
204,나쁜 기집애,15.6,22.75,7.59,2.09,15.29,3.86,21.78,4.45,0.78,5.82
205,대체 뭐부터 문제인가,8.77,16.62,7.87,17.47,0.76,19.05,12.31,4.86,0.76,11.52
206,We’re gone (Feat. ASH ISLAND),6.66,1.41,19.63,2.41,16.73,20.49,15.52,5.25,9,2.9
207,"일상다반사 (Feat. OLNL, BIG Naughty (서동현))",4.06,6.56,18.5,2.58,22.44,14.1,3.31,4.4,22.5,1.54
208,"Can I Love ? (Feat. 유라(youra), Meego)",11.76,21.94,3.85,7.76,2.2,5.83,3.53,22.44,18.05,2.65
209,우아해 (woo ah),4.56,25.6,5.37,6.97,18.63,19.79,3.69,4.81,4.5,6.09
210,Oasis (Feat. ZICO),17.63,25.36,4.05,8.01,4.79,7.32,3.01,2.65,24.69,2.49
211,SOFA,4.77,7.71,3.96,25.59,3.28,25.62,11.27,5.33,2.07,10.4
212,놓아줘 (with 태연),6.8,9.02,6.79,24.88,3.63,23.79,1.58,3.42,15.93,4.17
213,She Said (with 비비 (BIBI)),2.24,17.48,9.06,1.3,17.89,18.95,8.17,11.82,12.33,0.75
214,Cereal (Feat. ZICO),23.23,20.71,9.14,4.64,6.16,12.78,6.49,4.95,3.66,8.24
215,어떻게 지내,19.08,3.66,19.09,22,1.53,4.08,2.08,2.32,21.79,4.37
216,가끔,4.58,22.54,4.64,23.91,2.85,23.55,5.02,2.29,8.54,2.08
217,나빠(NAPPA),4.98,9.05,1.56,6.82,18.38,20.79,2.15,1.05,13.68,21.53
218,잊어버리지마 (Feat. 태연),3.39,8.67,16.62,8.98,9.54,20.69,9.46,14.27,6.53,1.83
219,아마도 그건,3.01,7.95,6.18,27.26,5.34,9.41,3.49,8.84,15.26,13.27
220,Congratulations,2.12,5.83,19.7,14.47,2.28,24.69,7.88,15.81,3.95,3.26
221,Color,1.88,7.47,7.29,22.4,2.31,22.1,18.93,1.44,14.26,1.91
222,D (half moon) (Feat. 개코),8.08,7.09,3.83,11.05,22.94,9.48,5.94,3.38,20.11,8.1
223,instagram,1.91,3.13,14.22,10.61,11.55,9.09,14.28,9.27,7.94,18.01
224,불청객,13.76,23.39,7.9,13.16,9.68,23.44,2.12,2.58,2.35,1.62
225,"what2do (Feat. Crush, Jeff Bernat)",12.15,8.92,16.32,19.1,1.85,5.27,10.37,1.29,9.19,15.53
226,풀어 (Pour Up) (Feat. 지코 (ZICO)),3.56,7.34,11.91,22.62,6.6,23.3,11.06,1.1,2.24,10.27
227,"하루살이 (feat. 설리, Rad Museum)",1.82,19.95,4.01,8.13,7.08,21.37,21.16,7.55,8.11,0.81
228,그 길에서,10.54,15.94,15.02,19.01,2.6,20.28,6.05,3.55,3.61,3.4
229,Physical (feat. 화사),2.95,14.82,1.78,8.83,18.49,7.05,2.04,23.23,17.73,3.08
230,해가 지기 전에,2.56,12.15,25.56,26.18,5.15,10.77,3.1,5.1,5.76,3.65
231,"유후 (You, Who?)",5.85,20.44,12.57,4.19,18.36,20.1,0.49,1.99,11.23,4.78
232,꿈에 (솔지 SOLO) (2018 Remastering Ver.),11.9,11.28,10.06,26.73,4.69,7.81,9.71,7.25,6.34,4.24
233,아예 (Ah Yeah),1.12,7.92,6.81,10.43,14.24,19.81,17.3,16.35,5.03,0.98
